Indicator Name,Year,Value,Group
"Mortality rate, adult, male (per 1,000 male adults)",1961,,Mortality
Tuberculosis treatment success rate (% of new cases),1961,,Other Health Indicators
"Prevalence of wasting, weight for height (% of children under 5)",1961,,Other Health Indicators
"Prevalence of stunting, height for age (% of children under 5)",1961,,Other Health Indicators
"Prevalence of stunting, height for age, male (% of children under 5)",1961,,Other Health Indicators
"Prevalence of overweight, weight for height (% of children under 5)",1961,,Other Health Indicators
"Prevalence of overweight, weight for height, male (% of children under 5)",1961,,Other Health Indicators
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1961,,Mortality
Diabetes prevalence (% of population ages 20 to 79),1961,,Demographics
Pregnant women receiving prenatal care (%),1961,,Other Health Indicators
"Number of surgical procedures (per 100,000 population)",1961,,Demographics
"Prevalence of current tobacco use, females (% of female adults)",1961,,Other Health Indicators
Lifetime risk of maternal death (1 in: rate varies by country),1961,39.8,Mortality
"Incidence of malaria (per 1,000 population at risk)",1961,,Demographics
"Community health workers (per 1,000 people)",1961,,Healthcare
"Immunization, HepB3 (% of one-year-old children)",1961,,Other Health Indicators
Young people (ages 15-24) newly infected with HIV,1961,,Other Health Indicators
Adults (ages 15-49) newly infected with HIV,1961,,Other Health Indicators
Children (0-14) living with HIV,1961,-1.699435273,Other Health Indicators
"Mortality rate, neonatal (per 1,000 live births)",1961,,Mortality
"Mortality rate, under-5, male (per 1,000 live births)",1961,48.62764088,Mortality
Women's share of population ages 15+ living with HIV (%),1961,44.82236141,Demographics
"Probability of dying among children ages 5-9 years (per 1,000)",1961,0.496364619,Mortality
"Cause of death, by injury (% of total)",1961,1.545841006,Mortality
Number of deaths ages 15-19 years,1961,5.149722771,Mortality
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",1961,2.290039439,Other Health Indicators
Rural population growth (annual %),1961,3.804682946,Demographics
"Completeness of birth registration, urban (%)",1961,4.791573957,Other Health Indicators
"Population, male (% of total population)",1961,6.674792591,Demographics
"Age dependency ratio, young (% of working-age population)",1961,9.129933296,Demographics
Population ages 15-64 (% of total population),1961,65.01305651,Demographics
"Population ages 15-64, female (% of female population)",1961,65.42123816,Demographics
Population ages 0-14 (% of total population),1961,29.14038651,Demographics
"Population ages 0-14, female (% of female population)",1961,28.07260105,Demographics
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1961,,Other Health Indicators
Wanted fertility rate (births per woman),1961,,Other Health Indicators
"Life expectancy at birth, male (years)",1961,66.03,Longevity
"Mortality rate, infant (per 1,000 live births)",1961,27.9,Mortality
"Death rate, crude (per 1,000 people)",1961,7.4,Mortality
"Adolescent fertility rate (births per 1,000 women ages 15-19)",1961,4.391,Other Health Indicators
Prevalence of anemia among pregnant women (%),1961,,Other Health Indicators
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),1961,,Other Health Indicators
"Physicians (per 1,000 people)",1961,1.0,Healthcare
"Immunization, measles (% of children ages 12-23 months)",1961,,Other Health Indicators
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",1961,,Demographics
